h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,census_msa,h1n1_vaccine
0,0,0,0,0,0,1,1,55 - 64 Years,< 12 Years,White,Female,Below Poverty,Not Married,Own,Not in Labor Force,Non-MSA,0
2,0,1,0,1,0,1,1,35 - 44 Years,12 Years,White,Male,Below Poverty,Not Married,Rent,Employed,"MSA, Not Principle  City",0
1,0,1,0,0,0,0,0,18 - 34 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Employed,"MSA, Not Principle  City",0
1,0,1,0,1,1,0,0,65+ Years,12 Years,White,Female,Below Poverty,Not Married,Rent,Not in Labor Force,"MSA, Principle City",0
1,0,1,0,1,1,0,1,45 - 54 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,"MSA, Not Principle  City",0
1,0,1,0,1,0,0,1,65+ Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,"MSA, Principle City",0
0,0,0,0,0,0,0,0,55 - 64 Years,< 12 Years,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Employed,"MSA, Not Principle  City",0
0,0,1,0,1,0,0,1,45 - 54 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,Non-MSA,1
2,0,1,0,1,1,1,1,45 - 54 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,"MSA, Not Principle  City",0
1,0,1,0,0,1,0,1,55 - 64 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,"MSA, Not Principle  City",0
1,0,1,0,1,1,0,0,45 - 54 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Rent,Employed,"MSA, Not Principle  City",1
2,0,1,0,1,0,0,0,55 - 64 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,Non-MSA,1
1,0,1,0,1,1,0,1,65+ Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,"MSA, Not Principle  City",0
1,0,1,0,1,0,0,1,35 - 44 Years,Some College,White,Male,"> $75,000",Married,Own,Employed,"MSA, Not Principle  City",0
1,0,1,0,1,0,1,1,55 - 64 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,"MSA, Not Principle  City",0
1,0,1,0,0,0,0,0,35 - 44 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,"MSA, Not Principle  City",0
1,0,1,0,1,1,1,1,65+ Years,12 Years,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,"MSA, Principle City",1
1,0,0,0,1,1,0,1,35 - 44 Years,Some College,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,"MSA, Not Principle  City",0
2,0,1,0,1,0,0,1,65+ Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,Non-MSA,0
2,0,0,0,1,0,1,1,55 - 64 Years,Some College,Black,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,"MSA, Not Principle  City",0
1,0,1,1,1,1,1,1,55 - 64 Years,College Graduate,Black,Female,"<= $75,000, Above Poverty",Not Married,Rent,Not in Labor Force,"MSA, Principle City",0
2,0,1,0,1,0,0,1,55 - 64 Years,Some College,White,Female,"> $75,000",Not Married,Own,Employed,"MSA, Not Principle  City",0
